,osm_id,highway,permlanes,lit,maxspeed,name,oneway,length,freespeed,modes,pav,obst,cross,x_start,y_start,x_end,y_end,capacity,id,inf,geometry,from1,to1
4800,167907737,secondary,4,yes,,Ακαδημίας,0,94.711,40.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476577.1509,4203502.431,476532.3169,4203423.061,1200.0,4801,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476525.5405379014 4203502.431206376, 476532.3169482134 4203492.015537971, 476540.71965405514 4203479.076595345, 476543.596356702 4203474.652446956, 476563.1650560127 4203444.572684047, 476567.318374361 4203438.181032486, 476570.4137103812 4203433.4234111, 476577.15090789465 4203423.06152552)",999.0,999.0
4801,167907737,secondary,4,yes,,Ακαδημίας,0,0.0,40.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476577.1509,4203423.061,476577.1509,4203423.061,1200.0,4802,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476577.15090789465 4203423.06152552, 476577.15090789524 4203423.06152552)",999.0,999.0
4802,167907737,secondary,4,yes,,Ακαδημίας,0,46.833,40.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,476602.67,4203423.061,476602.67,4203383.813,1200.0,4803,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476577.15090789524 4203423.06152552, 476602.6700352843 4203383.813112453)",999.0,999.0
4803,167907741,secondary,2,yes,,Μιχαλακοπούλου,0,11.662,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477904.645,4202789.973,477904.645,4202793.272,1200.0,4804,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477893.46442905767 4202789.97376647, 477904.64504291845 4202793.272354031)",999.0,999.0
4804,167907743,secondary,2,yes,,Μιχαλακοπούλου,0,33.448,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478384.7399,4203053.033,478378.329,4203084.071,1200.0,4805,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478373.6011611675 4203053.033730505, 478378.32896527124 4203060.78804098, 478380.81832367 4203065.619065585, 478383.01656070043 4203073.302352975, 478384.30568661756 4203079.268252372, 478384.73985508736 4203084.071387284)",999.0,999.0
4805,167907745,secondary,2,yes,,Βασιλέως Αλεξάνδρου,0,3.61,50.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,477894.3069,4202789.973,477894.3069,4202786.465,1200.0,4806,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477893.46442905767 4202789.97376647, 477894.3069451878 4202786.46538287)",999.0,999.0
4806,167907745,secondary,2,yes,,Βασιλέως Αλεξάνδρου,0,39.488,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477914.584,4202786.465,477896.4787,4202752.792,1200.0,4807,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477894.3069451878 4202786.46538287, 477896.47866613325 4202780.800938814, 477901.2761437108 4202771.745375045, 477914.5840268502 4202752.792148212)",999.0,999.0
4807,167907745,secondary,2,yes,,Βασιλέως Αλεξάνδρου,0,25.723,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477929.4235,4202752.792,477929.4235,4202731.793,1200.0,4808,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477914.5840268502 4202752.792148212, 477929.4234952325 4202731.793299834)",999.0,999.0
4808,167907745,secondary,2,yes,,Βασιλέως Αλεξάνδρου,0,31.869,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477947.3843,4202731.793,477947.3843,4202705.482,1200.0,4809,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477929.4234952325 4202731.793299834, 477947.3843159057 4202705.482556893)",999.0,999.0
4809,167907745,secondary,2,yes,,Βασιλέως Αλεξάνδρου,0,115.501,40.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478014.8681,4202705.482,477980.4697,4202611.801,1200.0,4810,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477947.3843159057 4202705.482556893, 477980.46974781103 4202659.559255648, 478014.8681090257 4202611.801861437)",999.0,999.0
